pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0301,25.93.20,Fabbricazione di catene,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Fabbricazione di catene — Pericolo vs Metodo81+,SICURIX_TALES_0301_259320_fabbricazione_di_catene_SICUREZZA_v1.png
0302,25.93.30,Fabbricazione di molle,Sicurezza,Voltix|Fumix,Formix|Scudix,Fabbricazione di molle — Pericolo vs Metodo81+,SICURIX_TALES_0302_259330_fabbricazione_di_molle_SICUREZZA_v1.png
0303,25.94.00,Fabbricazione di articoli di bulloneria,Sicurezza,Fumix|Polverix,Checkix|Prepostix,Fabbricazione di articoli di bulloneria — Pericolo vs Metodo81+,SICURIX_TALES_0303_259400_fabbricazione_di_articoli_di_bulloneria_SICUREZZA_v1.png
0304,25.99.10,Fabbricazione di articoli domestici in metallo per la cucina e le stanze da bagno,HACCP,Scadutix|Mescolix,Checkix|Hygienix,Fabbricazione di articoli domestici in metal — Pericolo vs Metodo81+,SICURIX_TALES_0304_259910_fabbricazione_di_articoli_domestici_in_m_HACCP_v1.png
0305,25.99.20,"Fabbricazione di casseforti, cassette di sicurezza e porte metalliche blindate",Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,"Fabbricazione di casseforti, cassette di sic — Pericolo vs Metodo81+",SICURIX_TALES_0305_259920_fabbricazione_di_casseforti_cassette_di__SICUREZZA_v1.png
0306,25.99.90,Fabbricazione di altri prodotti vari in metallo n.c.a.,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Fabbricazione di altri prodotti vari in meta — Pericolo vs Metodo81+,SICURIX_TALES_0306_259990_fabbricazione_di_altri_prodotti_vari_in__SICUREZZA_v1.png
0307,26.11.00,Fabbricazione di componenti elettronici,Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,Fabbricazione di componenti elettronici — Pericolo vs Metodo81+,SICURIX_TALES_0307_261100_fabbricazione_di_componenti_elettronici_SICUREZZA_v1.png
0308,26.12.00,Fabbricazione di schede elettroniche integrate,Sicurezza,Frettix|Improvvisix,Scudix|Formix,Fabbricazione di schede elettroniche integra — Pericolo vs Metodo81+,SICURIX_TALES_0308_261200_fabbricazione_di_schede_elettroniche_int_SICUREZZA_v1.png
0309,26.20.00,Fabbricazione di computer e unità periferiche,Sicurezza,Improvvisix|Caosix,Prepostix|Checkix,Fabbricazione di computer e unità periferich — Pericolo vs Metodo81+,SICURIX_TALES_0309_262000_fabbricazione_di_computer_e_unit_perifer_SICUREZZA_v1.png
0310,26.30.01,Fabbricazione di apparecchiature trasmittenti radiotelevisive,Sicurezza,Caosix|Segnalex,Formix|Scudix,Fabbricazione di apparecchiature trasmittent — Pericolo vs Metodo81+,SICURIX_TALES_0310_263001_fabbricazione_di_apparecchiature_trasmit_SICUREZZA_v1.png
0311,26.30.09,Fabbricazione di altre apparecchiature per le comunicazioni,Sicurezza,Segnalex|Riskix,Checkix|Prepostix,Fabbricazione di altre apparecchiature per l — Pericolo vs Metodo81+,SICURIX_TALES_0311_263009_fabbricazione_di_altre_apparecchiature_p_SICUREZZA_v1.png
