pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0351,28.24.00,Fabbricazione di utensili portatili a motore,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Fabbricazione di utensili portatili a motore — Pericolo vs Metodo81+,SICURIX_TALES_0351_282400_fabbricazione_di_utensili_portatili_a_mo_SICUREZZA_v1.png
0352,28.25.00,Fabbricazione di apparecchiature di climatizzazione per uso non domestico,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Fabbricazione di apparecchiature di climatiz — Pericolo vs Metodo81+,SICURIX_TALES_0352_282500_fabbricazione_di_apparecchiature_di_clim_SICUREZZA_v1.png
0353,28.29.10,Fabbricazione di bilance e distributori automatici,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Fabbricazione di bilance e distributori auto — Pericolo vs Metodo81+,SICURIX_TALES_0353_282910_fabbricazione_di_bilance_e_distributori__SICUREZZA_v1.png
0354,28.29.20,Fabbricazione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche,Sicurezza,Voltix|Fumix,Formix|Scudix,Fabbricazione di impianti di distillazione o — Pericolo vs Metodo81+,SICURIX_TALES_0354_282920_fabbricazione_di_impianti_di_distillazio_SICUREZZA_v1.png
0355,28.29.30,"Fabbricazione di macchine per la dosatura, la confezione e per l'imballaggio",Sicurezza,Fumix|Polverix,Checkix|Prepostix,"Fabbricazione di macchine per la dosatura, l — Pericolo vs Metodo81+",SICURIX_TALES_0355_282930_fabbricazione_di_macchine_per_la_dosatur_SICUREZZA_v1.png
0356,28.29.41,"Fabbricazione di macchine per la pulizia di pavimenti, superfici e ambienti per uso non domestico",Sicurezza,Polverix|Nondpix,Scudix|Formix,Fabbricazione di macchine per la pulizia di  — Pericolo vs Metodo81+,SICURIX_TALES_0356_282941_fabbricazione_di_macchine_per_la_pulizia_SICUREZZA_v1.png
0357,28.29.49,Fabbricazione di altre macchine per la pulizia per uso non domestico,Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Fabbricazione di altre macchine per la puliz — Pericolo vs Metodo81+,SICURIX_TALES_0357_282949_fabbricazione_di_altre_macchine_per_la_p_SICUREZZA_v1.png
0358,28.29.91,Fabbricazione di apparecchi per depurare e filtrare liquidi,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Fabbricazione di apparecchi per depurare e f — Pericolo vs Metodo81+,SICURIX_TALES_0358_282991_fabbricazione_di_apparecchi_per_depurare_SICUREZZA_v1.png
0359,28.29.92,"Fabbricazione di livelle, metri doppi a nastro e utensili simili, strumenti di precisione per meccanica",Sicurezza,Sottovalutix|Frettix,Checkix|Prepostix,"Fabbricazione di livelle, metri doppi a nast — Pericolo vs Metodo81+",SICURIX_TALES_0359_282992_fabbricazione_di_livelle_metri_doppi_a_n_SICUREZZA_v1.png
0360,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,Sicurezza,Frettix|Improvvisix,Scudix|Formix,Fabbricazione di altre macchine varie di imp — Pericolo vs Metodo81+,SICURIX_TALES_0360_282999_fabbricazione_di_altre_macchine_varie_di_SICUREZZA_v1.png
0361,28.30.10,Fabbricazione di trattori per l'agricoltura e la silvicoltura,Sicurezza,Improvvisix|Caosix,Prepostix|Checkix,Fabbricazione di trattori per l'agricoltura  — Pericolo vs Metodo81+,SICURIX_TALES_0361_283010_fabbricazione_di_trattori_per_l_agricolt_SICUREZZA_v1.png
0362,28.30.91,Fabbricazione di macchine per il giardinaggio e la cura del verde,Sicurezza,Caosix|Segnalex,Formix|Scudix,Fabbricazione di macchine per il giardinaggi — Pericolo vs Metodo81+,SICURIX_TALES_0362_283091_fabbricazione_di_macchine_per_il_giardin_SICUREZZA_v1.png
0363,28.30.99,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.,Sicurezza,Segnalex|Riskix,Checkix|Prepostix,Fabbricazione di altre macchine per l'agrico — Pericolo vs Metodo81+,SICURIX_TALES_0363_283099_fabbricazione_di_altre_macchine_per_l_ag_SICUREZZA_v1.png
0364,28.41.00,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili per la lavorazione dei metalli,Privacy,Permissionix|Cancelix,Luxpectorix|Cifrix,Fabbricazione di macchine per la deformazion — Pericolo vs Metodo81+,SICURIX_TALES_0364_284100_fabbricazione_di_macchine_per_la_deforma_PRIVACY_v1.png
0365,28.42.00,Fabbricazione di altre macchine utensili,Sicurezza,Cadutix|Schiaccix,Prepostix|Checkix,Fabbricazione di altre macchine utensili — Pericolo vs Metodo81+,SICURIX_TALES_0365_284200_fabbricazione_di_altre_macchine_utensili_SICUREZZA_v1.png
0366,28.91.00,Fabbricazione di macchine per la metallurgia,Sicurezza,Schiaccix|Voltix,Formix|Scudix,Fabbricazione di macchine per la metallurgia — Pericolo vs Metodo81+,SICURIX_TALES_0366_289100_fabbricazione_di_macchine_per_la_metallu_SICUREZZA_v1.png
0367,28.92.00,"Fabbricazione di macchine da miniera, cava e cantiere",Sicurezza,Voltix|Fumix,Checkix|Prepostix,"Fabbricazione di macchine da miniera, cava e — Pericolo vs Metodo81+",SICURIX_TALES_0367_289200_fabbricazione_di_macchine_da_miniera_cav_SICUREZZA_v1.png
0368,28.93.00,"Fabbricazione di macchine per l'industria alimentare, delle bevande e del tabacco",HACCP,Mescolix|Dosagix,Blinkix|Chefix,Fabbricazione di macchine per l'industria al — Pericolo vs Metodo81+,SICURIX_TALES_0368_289300_fabbricazione_di_macchine_per_l_industri_HACCP_v1.png
0369,28.94.10,Fabbricazione di macchine tessili,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Fabbricazione di macchine tessili — Pericolo vs Metodo81+,SICURIX_TALES_0369_289410_fabbricazione_di_macchine_tessili_SICUREZZA_v1.png
0370,28.94.20,Fabbricazione di macchine per la lavorazione delle pelli e del cuoio,Sicurezza,Nondpix|Segnalex,Formix|Scudix,Fabbricazione di macchine per la lavorazione — Pericolo vs Metodo81+,SICURIX_TALES_0370_289420_fabbricazione_di_macchine_per_la_lavoraz_SICUREZZA_v1.png
0371,28.94.30,Fabbricazione di macchine per lavanderie e stirerie,Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Fabbricazione di macchine per lavanderie e s — Pericolo vs Metodo81+,SICURIX_TALES_0371_289430_fabbricazione_di_macchine_per_lavanderie_SICUREZZA_v1.png
0372,28.95.00,Fabbricazione di macchine per l'industria della carta e del cartone,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Fabbricazione di macchine per l'industria de — Pericolo vs Metodo81+,SICURIX_TALES_0372_289500_fabbricazione_di_macchine_per_l_industri_SICUREZZA_v1.png
0373,28.96.00,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Fabbricazione di macchine per l'industria de — Pericolo vs Metodo81+,SICURIX_TALES_0373_289600_fabbricazione_di_macchine_per_l_industri_SICUREZZA_v1.png
