pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0451,33.12.52,Riparazione e manutenzione di bilance e distributori automatici,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Riparazione e manutenzione di bilance e dist — Pericolo vs Metodo81+,SICURIX_TALES_0451_331252_riparazione_e_manutenzione_di_bilance_e__SICUREZZA_v1.png
0452,33.12.53,Riparazione e manutenzione di impianti di distillazione o rettificazione per raffinerie di petrolio e industrie chimiche,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Riparazione e manutenzione di impianti di di — Pericolo vs Metodo81+,SICURIX_TALES_0452_331253_riparazione_e_manutenzione_di_impianti_d_SICUREZZA_v1.png
0453,33.12.54,Riparazione e manutenzione di macchine per impacchettare e imballare,Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Riparazione e manutenzione di macchine per i — Pericolo vs Metodo81+,SICURIX_TALES_0453_331254_riparazione_e_manutenzione_di_macchine_p_SICUREZZA_v1.png
0454,33.12.59,Riparazione e manutenzione di altre macchine di impiego generale n.c.a.,Sicurezza,Segnalex|Riskix,Formix|Scudix,Riparazione e manutenzione di altre macchine — Pericolo vs Metodo81+,SICURIX_TALES_0454_331259_riparazione_e_manutenzione_di_altre_macc_SICUREZZA_v1.png
0455,33.12.60,Riparazione e manutenzione di trattori agricoli,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Riparazione e manutenzione di trattori agric — Pericolo vs Metodo81+,SICURIX_TALES_0455_331260_riparazione_e_manutenzione_di_trattori_a_SICUREZZA_v1.png
0456,33.12.70,Riparazione e manutenzione di altre macchine per l'agricoltura e la silvicoltura,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Riparazione e manutenzione di altre macchine — Pericolo vs Metodo81+,SICURIX_TALES_0456_331270_riparazione_e_manutenzione_di_altre_macc_SICUREZZA_v1.png
0457,33.12.91,Affilatura di lame e seghe per macchinari,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Affilatura di lame e seghe per macchinari — Pericolo vs Metodo81+,SICURIX_TALES_0457_331291_affilatura_di_lame_e_seghe_per_macchinar_SICUREZZA_v1.png
0458,33.12.92,"Riparazione e manutenzione di giostre, altalene e altre attrazioni di divertimento",Sicurezza,Voltix|Fumix,Formix|Scudix,"Riparazione e manutenzione di giostre, altal — Pericolo vs Metodo81+",SICURIX_TALES_0458_331292_riparazione_e_manutenzione_di_giostre_al_SICUREZZA_v1.png
0459,33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.,Sicurezza,Fumix|Polverix,Checkix|Prepostix,Riparazione e manutenzione di altre macchine — Pericolo vs Metodo81+,SICURIX_TALES_0459_331299_riparazione_e_manutenzione_di_altre_macc_SICUREZZA_v1.png
0460,33.13.01,"Riparazione e manutenzione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche",Sicurezza,Polverix|Nondpix,Scudix|Formix,Riparazione e manutenzione di apparecchiatur — Pericolo vs Metodo81+,SICURIX_TALES_0460_331301_riparazione_e_manutenzione_di_apparecchi_SICUREZZA_v1.png
0461,33.13.02,Riparazione e manutenzione di strumenti e apparecchiature ottiche,Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Riparazione e manutenzione di strumenti e ap — Pericolo vs Metodo81+,SICURIX_TALES_0461_331302_riparazione_e_manutenzione_di_strumenti__SICUREZZA_v1.png
0462,33.13.09,Riparazione e manutenzione di altre apparecchiature elettroniche e ottiche,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Riparazione e manutenzione di altre apparecc — Pericolo vs Metodo81+,SICURIX_TALES_0462_331309_riparazione_e_manutenzione_di_altre_appa_SICUREZZA_v1.png
