pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0701,46.84.10,Commercio all'ingrosso di ferramenta,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Commercio all'ingrosso di ferramenta — Pericolo vs Metodo81+,SICURIX_TALES_0701_468410_commercio_all_ingrosso_di_ferramenta_SICUREZZA_v1.png
0702,46.84.20,Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento,Sicurezza,Riskix|Cadutix,Formix|Scudix,Commercio all'ingrosso di apparecchi e acces — Pericolo vs Metodo81+,SICURIX_TALES_0702_468420_commercio_all_ingrosso_di_apparecchi_e_a_SICUREZZA_v1.png
0703,46.85.01,Commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Commercio all'ingrosso di fertilizzanti e al — Pericolo vs Metodo81+,SICURIX_TALES_0703_468501_commercio_all_ingrosso_di_fertilizzanti__SICUREZZA_v1.png
0704,46.85.02,Commercio all'ingrosso di liquidi per inalazione per sigarette elettroniche,Sicurezza,Schiaccix|Voltix,Scudix|Formix,Commercio all'ingrosso di liquidi per inalaz — Pericolo vs Metodo81+,SICURIX_TALES_0704_468502_commercio_all_ingrosso_di_liquidi_per_in_SICUREZZA_v1.png
0705,46.85.09,Commercio all'ingrosso di altri prodotti chimici,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Commercio all'ingrosso di altri prodotti chi — Pericolo vs Metodo81+,SICURIX_TALES_0705_468509_commercio_all_ingrosso_di_altri_prodotti_SICUREZZA_v1.png
0706,46.86.10,Commercio all'ingrosso di materie plastiche in forme primarie e gomma,Sicurezza,Fumix|Polverix,Formix|Scudix,Commercio all'ingrosso di materie plastiche  — Pericolo vs Metodo81+,SICURIX_TALES_0706_468610_commercio_all_ingrosso_di_materie_plasti_SICUREZZA_v1.png
0707,46.86.20,Commercio all'ingrosso di fibre tessili,Sicurezza,Polverix|Nondpix,Checkix|Prepostix,Commercio all'ingrosso di fibre tessili — Pericolo vs Metodo81+,SICURIX_TALES_0707_468620_commercio_all_ingrosso_di_fibre_tessili_SICUREZZA_v1.png
0708,46.86.30,Commercio all'ingrosso di articoli per imballaggio,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Commercio all'ingrosso di articoli per imbal — Pericolo vs Metodo81+,SICURIX_TALES_0708_468630_commercio_all_ingrosso_di_articoli_per_i_SICUREZZA_v1.png
0709,46.86.90,Commercio all'ingrosso di altri prodotti intermedi n.c.a.,Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,Commercio all'ingrosso di altri prodotti int — Pericolo vs Metodo81+,SICURIX_TALES_0709_468690_commercio_all_ingrosso_di_altri_prodotti_SICUREZZA_v1.png
0710,46.87.10,Commercio all'ingrosso di rottami e cascami metallici,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Commercio all'ingrosso di rottami e cascami  — Pericolo vs Metodo81+,SICURIX_TALES_0710_468710_commercio_all_ingrosso_di_rottami_e_casc_SICUREZZA_v1.png
0711,46.87.90,Commercio all'ingrosso di altri rottami e cascami,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Commercio all'ingrosso di altri rottami e ca — Pericolo vs Metodo81+,SICURIX_TALES_0711_468790_commercio_all_ingrosso_di_altri_rottami__SICUREZZA_v1.png
0712,46.89.00,Commercio all'ingrosso specializzato di altri prodotti n.c.a.,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Commercio all'ingrosso specializzato di altr — Pericolo vs Metodo81+,SICURIX_TALES_0712_468900_commercio_all_ingrosso_specializzato_di__SICUREZZA_v1.png
0713,46.90.00,Commercio all'ingrosso non specializzato,Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Commercio all'ingrosso non specializzato — Pericolo vs Metodo81+,SICURIX_TALES_0713_469000_commercio_all_ingrosso_non_specializzato_SICUREZZA_v1.png
0714,47.11.01,Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari surgelati,HACCP,Sporckix|Crossix,Checkix|Hygienix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0714_471101_commercio_al_dettaglio_non_specializzato_HACCP_v1.png
0715,47.11.02,"Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi",HACCP,Crossix|Temporix,Chefix|Traccix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0715_471102_commercio_al_dettaglio_non_specializzato_HACCP_v1.png
0716,47.12.10,Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici,Privacy,Spyix|Hackix,Cifrix|Documix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0716_471210_commercio_al_dettaglio_non_specializzato_PRIVACY_v1.png
0717,47.12.20,Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0717_471220_commercio_al_dettaglio_non_specializzato_SICUREZZA_v1.png
0718,47.12.30,"Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante",Sicurezza,Voltix|Fumix,Formix|Scudix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0718_471230_commercio_al_dettaglio_non_specializzato_SICUREZZA_v1.png
0719,47.12.40,"Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi, articoli di cancelleria e giochi",Sicurezza,Fumix|Polverix,Checkix|Prepostix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0719_471240_commercio_al_dettaglio_non_specializzato_SICUREZZA_v1.png
0720,47.12.50,Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature,Sicurezza,Polverix|Nondpix,Scudix|Formix,Commercio al dettaglio non specializzato con — Pericolo vs Metodo81+,SICURIX_TALES_0720_471250_commercio_al_dettaglio_non_specializzato_SICUREZZA_v1.png
