pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
0751,47.55.10,Commercio al dettaglio di mobili per la casa,Sicurezza,Improvvisix|Caosix,Checkix|Prepostix,Commercio al dettaglio di mobili per la casa — Pericolo vs Metodo81+,SICURIX_TALES_0751_475510_commercio_al_dettaglio_di_mobili_per_la__SICUREZZA_v1.png
0752,47.55.20,Commercio al dettaglio di altri mobili,Sicurezza,Caosix|Segnalex,Scudix|Formix,Commercio al dettaglio di altri mobili — Pericolo vs Metodo81+,SICURIX_TALES_0752_475520_commercio_al_dettaglio_di_altri_mobili_SICUREZZA_v1.png
0753,47.55.30,Commercio al dettaglio di articoli per l'illuminazione,Sicurezza,Segnalex|Riskix,Prepostix|Checkix,Commercio al dettaglio di articoli per l'ill — Pericolo vs Metodo81+,SICURIX_TALES_0753_475530_commercio_al_dettaglio_di_articoli_per_l_SICUREZZA_v1.png
0754,47.55.40,Commercio al dettaglio di articoli per la tavola e la cucina,HACCP,Dosagix|Acquaix,Checkix|Hygienix,Commercio al dettaglio di articoli per la ta — Pericolo vs Metodo81+,SICURIX_TALES_0754_475540_commercio_al_dettaglio_di_articoli_per_l_HACCP_v1.png
0755,47.55.90,Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa,Sicurezza,Cadutix|Schiaccix,Checkix|Prepostix,Commercio al dettaglio di attrezzature per b — Pericolo vs Metodo81+,SICURIX_TALES_0755_475590_commercio_al_dettaglio_di_attrezzature_p_SICUREZZA_v1.png
0756,47.61.00,Commercio al dettaglio di libri,Sicurezza,Schiaccix|Voltix,Scudix|Formix,Commercio al dettaglio di libri — Pericolo vs Metodo81+,SICURIX_TALES_0756_476100_commercio_al_dettaglio_di_libri_SICUREZZA_v1.png
0757,47.62.10,Commercio al dettaglio di giornali e altre pubblicazioni periodiche,Sicurezza,Voltix|Fumix,Prepostix|Checkix,Commercio al dettaglio di giornali e altre p — Pericolo vs Metodo81+,SICURIX_TALES_0757_476210_commercio_al_dettaglio_di_giornali_e_alt_SICUREZZA_v1.png
0758,47.62.20,Commercio al dettaglio di articoli di cancelleria,Sicurezza,Fumix|Polverix,Formix|Scudix,Commercio al dettaglio di articoli di cancel — Pericolo vs Metodo81+,SICURIX_TALES_0758_476220_commercio_al_dettaglio_di_articoli_di_ca_SICUREZZA_v1.png
0759,47.63.10,Commercio al dettaglio di imbarcazioni,HACCP,Scadutix|Mescolix,Checkix|Hygienix,Commercio al dettaglio di imbarcazioni — Pericolo vs Metodo81+,SICURIX_TALES_0759_476310_commercio_al_dettaglio_di_imbarcazioni_HACCP_v1.png
0760,47.63.21,Commercio al dettaglio di biciclette,Sicurezza,Nondpix|Segnalex,Scudix|Formix,Commercio al dettaglio di biciclette — Pericolo vs Metodo81+,SICURIX_TALES_0760_476321_commercio_al_dettaglio_di_biciclette_SICUREZZA_v1.png
0761,47.63.29,Commercio al dettaglio di altre attrezzature sportive,Sicurezza,Segnalex|Sottovalutix,Prepostix|Checkix,Commercio al dettaglio di altre attrezzature — Pericolo vs Metodo81+,SICURIX_TALES_0761_476329_commercio_al_dettaglio_di_altre_attrezza_SICUREZZA_v1.png
0762,47.64.00,Commercio al dettaglio di giochi e giocattoli,Sicurezza,Sottovalutix|Frettix,Formix|Scudix,Commercio al dettaglio di giochi e giocattol — Pericolo vs Metodo81+,SICURIX_TALES_0762_476400_commercio_al_dettaglio_di_giochi_e_gioca_SICUREZZA_v1.png
0763,47.69.11,Commercio al dettaglio di supporti registrati,Sicurezza,Frettix|Improvvisix,Checkix|Prepostix,Commercio al dettaglio di supporti registrat — Pericolo vs Metodo81+,SICURIX_TALES_0763_476911_commercio_al_dettaglio_di_supporti_regis_SICUREZZA_v1.png
0764,47.69.12,Commercio al dettaglio di strumenti musicali,Sicurezza,Improvvisix|Caosix,Scudix|Formix,Commercio al dettaglio di strumenti musicali — Pericolo vs Metodo81+,SICURIX_TALES_0764_476912_commercio_al_dettaglio_di_strumenti_musi_SICUREZZA_v1.png
0765,47.69.20,"Commercio al dettaglio di articoli di filatelia, numismatica e da collezionismo",Sicurezza,Caosix|Segnalex,Prepostix|Checkix,Commercio al dettaglio di articoli di filate — Pericolo vs Metodo81+,SICURIX_TALES_0765_476920_commercio_al_dettaglio_di_articoli_di_fi_SICUREZZA_v1.png
0766,47.69.30,"Commercio al dettaglio di articoli per disegno, pittura e scultura",Sicurezza,Segnalex|Riskix,Formix|Scudix,Commercio al dettaglio di articoli per diseg — Pericolo vs Metodo81+,SICURIX_TALES_0766_476930_commercio_al_dettaglio_di_articoli_per_d_SICUREZZA_v1.png
0767,47.69.91,Commercio al dettaglio di opere d'arte,Sicurezza,Riskix|Cadutix,Checkix|Prepostix,Commercio al dettaglio di opere d'arte — Pericolo vs Metodo81+,SICURIX_TALES_0767_476991_commercio_al_dettaglio_di_opere_d_arte_SICUREZZA_v1.png
0768,47.69.99,Commercio al dettaglio di altri articoli vari culturali e ricreativi n.c.a.,Sicurezza,Cadutix|Schiaccix,Scudix|Formix,Commercio al dettaglio di altri articoli var — Pericolo vs Metodo81+,SICURIX_TALES_0768_476999_commercio_al_dettaglio_di_altri_articoli_SICUREZZA_v1.png
0769,47.71.10,Commercio al dettaglio di articoli di abbigliamento per adulti,Sicurezza,Schiaccix|Voltix,Prepostix|Checkix,Commercio al dettaglio di articoli di abbigl — Pericolo vs Metodo81+,SICURIX_TALES_0769_477110_commercio_al_dettaglio_di_articoli_di_ab_SICUREZZA_v1.png
0770,47.71.20,Commercio al dettaglio di articoli di abbigliamento per neonati e bambini,Sicurezza,Voltix|Fumix,Formix|Scudix,Commercio al dettaglio di articoli di abbigl — Pericolo vs Metodo81+,SICURIX_TALES_0770_477120_commercio_al_dettaglio_di_articoli_di_ab_SICUREZZA_v1.png
0771,47.71.30,Commercio al dettaglio di articoli di biancheria intima,Sicurezza,Fumix|Polverix,Checkix|Prepostix,Commercio al dettaglio di articoli di bianch — Pericolo vs Metodo81+,SICURIX_TALES_0771_477130_commercio_al_dettaglio_di_articoli_di_bi_SICUREZZA_v1.png
0772,47.71.40,Commercio al dettaglio di articoli di abbigliamento in pelle e pelliccia,Sicurezza,Polverix|Nondpix,Scudix|Formix,Commercio al dettaglio di articoli di abbigl — Pericolo vs Metodo81+,SICURIX_TALES_0772_477140_commercio_al_dettaglio_di_articoli_di_ab_SICUREZZA_v1.png
0773,47.71.50,Commercio al dettaglio di accessori per l'abbigliamento,Sicurezza,Nondpix|Segnalex,Prepostix|Checkix,Commercio al dettaglio di accessori per l'ab — Pericolo vs Metodo81+,SICURIX_TALES_0773_477150_commercio_al_dettaglio_di_accessori_per__SICUREZZA_v1.png
0774,47.72.11,Commercio al dettaglio di calzature e accessori per calzature per adulti,Sicurezza,Segnalex|Sottovalutix,Formix|Scudix,Commercio al dettaglio di calzature e access — Pericolo vs Metodo81+,SICURIX_TALES_0774_477211_commercio_al_dettaglio_di_calzature_e_ac_SICUREZZA_v1.png
