pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
1001,71.20.29,Altre attività di controllo di qualità e certificazione di prodotti,Misto,Riskix|Cadutix|Cancelix,Prepostix|Checkix,Altre attività di controllo di qualità e cer — Pericolo vs Metodo81+,SICURIX_TALES_1001_712029_altre_attivit_di_controllo_di_qualit_e_c_MISTO_v1.png
1002,72.10.10,Ricerca e sviluppo sperimentale nel campo delle biotecnologie,Misto,Cadutix|Schiaccix|Leakix,Formix|Scudix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1002_721010_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1003,72.10.21,Ricerca e sviluppo sperimentale nel campo della geologia,Misto,Schiaccix|Voltix|Phishix,Checkix|Prepostix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1003_721021_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1004,72.10.22,Ricerca e sviluppo sperimentale nel campo della diagnostica per la conservazione dei beni culturali,Misto,Voltix|Fumix|Spyix,Scudix|Formix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1004_721022_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1005,72.10.29,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria n.c.a.,Misto,Fumix|Polverix|Hackix,Prepostix|Checkix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1005_721029_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1006,72.20.01,Ricerca e sviluppo sperimentale nel campo dell'archeologia,Misto,Polverix|Nondpix|Permissionix,Formix|Scudix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1006_722001_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1007,72.20.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze sociali e umanistiche,Misto,Nondpix|Segnalex|Cancelix,Checkix|Prepostix,Ricerca e sviluppo sperimentale nel campo de — Pericolo vs Metodo81+,SICURIX_TALES_1007_722009_ricerca_e_sviluppo_sperimentale_nel_camp_MISTO_v1.png
1008,73.11.01,Ideazione di campagne pubblicitarie,Privacy,Leakix|Phishix,Documix|Privacix,Ideazione di campagne pubblicitarie — Pericolo vs Metodo81+,SICURIX_TALES_1008_731101_ideazione_di_campagne_pubblicitarie_PRIVACY_v1.png
1009,73.11.02,Conduzione di campagne di marketing e altri servizi pubblicitari,Privacy,Phishix|Spyix,Luxpectorix|Cifrix,Conduzione di campagne di marketing e altri  — Pericolo vs Metodo81+,SICURIX_TALES_1009_731102_conduzione_di_campagne_di_marketing_e_al_PRIVACY_v1.png
1010,73.11.03,Attività di influencer marketing,Privacy,Spyix|Hackix,Privacix|Consensix,Attività di influencer marketing — Pericolo vs Metodo81+,SICURIX_TALES_1010_731103_attivit_di_influencer_marketing_PRIVACY_v1.png
