pagina,codice,descrizione,area,cattivi,eroi,titolo,nome_file
1201,91.30.01,Conservazione e restauro del patrimonio culturale,Sicurezza,Polverix|Nondpix,Prepostix|Checkix,Conservazione e restauro del patrimonio cult — Pericolo vs Metodo81+,SICURIX_TALES_1201_913001_conservazione_e_restauro_del_patrimonio__SICUREZZA_v1.png
1202,91.30.02,Creazione e gestione di apparecchiature multimediali per l'accompagnamento alle visite in musei e altri siti culturali,Sicurezza,Nondpix|Segnalex,Formix|Scudix,Creazione e gestione di apparecchiature mult — Pericolo vs Metodo81+,SICURIX_TALES_1202_913002_creazione_e_gestione_di_apparecchiature__SICUREZZA_v1.png
1203,91.30.09,Altre attività di supporto al patrimonio culturale,Sicurezza,Segnalex|Sottovalutix,Checkix|Prepostix,Altre attività di supporto al patrimonio cul — Pericolo vs Metodo81+,SICURIX_TALES_1203_913009_altre_attivit_di_supporto_al_patrimonio__SICUREZZA_v1.png
1204,91.41.00,Attività di orti botanici e giardini zoologici,Sicurezza,Sottovalutix|Frettix,Scudix|Formix,Attività di orti botanici e giardini zoologi — Pericolo vs Metodo81+,SICURIX_TALES_1204_914100_attivit_di_orti_botanici_e_giardini_zool_SICUREZZA_v1.png
1205,91.42.00,Attività di riserve e parchi naturali,Sicurezza,Frettix|Improvvisix,Prepostix|Checkix,Attività di riserve e parchi naturali — Pericolo vs Metodo81+,SICURIX_TALES_1205_914200_attivit_di_riserve_e_parchi_naturali_SICUREZZA_v1.png
1206,92.00.01,Gestione di apparecchi che consentono vincite in denaro funzionanti a moneta o a gettone,Sicurezza,Improvvisix|Caosix,Formix|Scudix,Gestione di apparecchi che consentono vincit — Pericolo vs Metodo81+,SICURIX_TALES_1206_920001_gestione_di_apparecchi_che_consentono_vi_SICUREZZA_v1.png
1207,92.00.09,"Altre attività di scommesse, lotterie e altri giochi d'azzardo",Sicurezza,Caosix|Segnalex,Checkix|Prepostix,"Altre attività di scommesse, lotterie e altr — Pericolo vs Metodo81+",SICURIX_TALES_1207_920009_altre_attivit_di_scommesse_lotterie_e_al_SICUREZZA_v1.png
1208,93.11.10,Gestione di piscine,Sicurezza,Segnalex|Riskix,Scudix|Formix,Gestione di piscine — Pericolo vs Metodo81+,SICURIX_TALES_1208_931110_gestione_di_piscine_SICUREZZA_v1.png
1209,93.11.90,Gestione di altri impianti sportivi,Sicurezza,Riskix|Cadutix,Prepostix|Checkix,Gestione di altri impianti sportivi — Pericolo vs Metodo81+,SICURIX_TALES_1209_931190_gestione_di_altri_impianti_sportivi_SICUREZZA_v1.png
1210,93.12.00,Attività dei club sportivi,Sicurezza,Cadutix|Schiaccix,Formix|Scudix,Attività dei club sportivi — Pericolo vs Metodo81+,SICURIX_TALES_1210_931200_attivit_dei_club_sportivi_SICUREZZA_v1.png
1211,93.13.01,"Attività di studi di yoga, pilates e Tai Chi",Sicurezza,Schiaccix|Voltix,Checkix|Prepostix,"Attività di studi di yoga, pilates e Tai Chi — Pericolo vs Metodo81+",SICURIX_TALES_1211_931301_attivit_di_studi_di_yoga_pilates_e_tai_c_SICUREZZA_v1.png
1212,93.13.09,Altre attività dei centri di fitness,Sicurezza,Voltix|Fumix,Scudix|Formix,Altre attività dei centri di fitness — Pericolo vs Metodo81+,SICURIX_TALES_1212_931309_altre_attivit_dei_centri_di_fitness_SICUREZZA_v1.png
